LPID,ADate,StartTime,StopTime,DayNight,SCC,CenterLatdec,CenterLongdec
_201055_,19/09/2013,2013:262:11:06:25.1416330,2013:262:11:06:56.9116280,DAY,96.26,7.23109,-12.04873
_203051_,17/09/2013,2013:260:11:17:12.1497030,2013:260:11:17:43.9196990,DAY,44.35,13.01255,-13.88705
_203052_,17/09/2013,2013:260:11:17:36.0619200,2013:260:11:18:07.8319160,DAY,69.96,11.56749,-14.20382
_203053_,17/09/2013,2013:260:11:17:59.9699010,2013:260:11:18:31.7398970,DAY,94.82,10.1224,-14.51833
_198052_,14/09/2013,2013:257:10:46:43.4326820,2013:257:10:47:15.2026780,DAY,45.66,11.56741,-6.48289
_198053_,14/09/2013,2013:257:10:47:07.3406630,2013:257:10:47:39.1106590,DAY,31.75,10.12238,-6.79739
_198054_,14/09/2013,2013:257:10:47:31.2528800,2013:257:10:48:03.0228760,DAY,47.69,8.67683,-7.11001
_198055_,14/09/2013,2013:257:10:47:55.1650970,2013:257:10:48:26.9350930,DAY,78.27,7.23114,-7.42101
_200051_,12/09/2013,2013:255:10:58:41.9528730,2013:255:10:59:13.7228690,DAY,99.98,13.01239,-9.25828
_200052_,12/09/2013,2013:255:10:59:05.8650900,2013:255:10:59:37.6350860,DAY,98.95,11.56742,-9.57505
_200053_,12/09/2013,2013:255:10:59:29.7688350,2013:255:11:00:01.5388310,DAY,97.03,10.12266,-9.88949
_200054_,12/09/2013,2013:255:10:59:53.6852880,2013:255:11:00:25.4552840,DAY,87,8.67687,-10.20216
_202051_,10/09/2013,2013:253:11:11:04.2922130,2013:253:11:11:36.0622080,DAY,98.56,13.01253,-12.34984
_202052_,10/09/2013,2013:253:11:11:28.2044300,2013:253:11:11:59.9744250,DAY,94.46,11.56756,-12.66662
_202053_,10/09/2013,2013:253:11:11:52.1124100,2013:253:11:12:23.8824060,DAY,63.3,10.12257,-12.9811
_202054_,10/09/2013,2013:253:11:12:16.0288630,2013:253:11:12:47.7988590,DAY,82.72,8.67678,-13.29378
_202055_,10/09/2013,2013:253:11:12:39.9368440,2013:253:11:13:11.7068400,DAY,90.32,7.23138,-13.60471
_204051_,08/09/2013,2013:251:11:23:26.5596080,2013:251:11:23:58.3296040,DAY,51.48,13.01237,-15.44121
_204052_,08/09/2013,2013:251:11:23:50.4718250,2013:251:11:24:22.2418210,DAY,56.26,11.56741,-15.75799
_199051_,05/09/2013,2013:248:10:52:33.2995810,2013:248:10:53:05.0695770,DAY,45.74,13.01263,-7.71768
_199052_,05/09/2013,2013:248:10:52:57.2160340,2013:248:10:53:28.9860300,DAY,66.14,11.56744,-8.03452
_199053_,05/09/2013,2013:248:10:53:21.1240150,2013:248:10:53:52.8940110,DAY,95.32,10.12246,-8.34906
_199054_,05/09/2013,2013:248:10:53:45.0404680,2013:248:10:54:16.8104640,DAY,96.69,8.67674,-8.66177
_199055_,05/09/2013,2013:248:10:54:08.9526850,2013:248:10:54:40.7226810,DAY,84.46,7.23111,-8.97282
_201051_,03/09/2013,2013:246:11:04:55.2958210,2013:246:11:05:27.0658170,DAY,72.37,13.01229,-10.80864
_201052_,03/09/2013,2013:246:11:05:19.1995660,2013:246:11:05:50.9695620,DAY,82.32,11.56782,-11.12534
_201053_,03/09/2013,2013:246:11:05:43.1117830,2013:246:11:06:14.8817790,DAY,81.02,10.12263,-11.43994
_201054_,03/09/2013,2013:246:11:06:07.0240000,2013:246:11:06:38.7939960,DAY,76.81,8.67718,-11.75262
_201055_,03/09/2013,2013:246:11:06:30.9446890,2013:246:11:07:02.7146850,DAY,71.55,7.23108,-12.0638
_203051_,01/09/2013,2013:244:11:17:17.1903000,2013:244:11:17:48.9602960,DAY,45.38,13.01257,-13.89916
